S000M           gamma MASS
G033M           graviton MASS
S043M           W MASS
S044M           Z MASS
S003M           e MASS
S004M           mu MASS
S035M           tau MASS
Q004M           c-QUARK MASS
Q005M           b-QUARK MASS
S008M           pi+- MASS
S009M           pi0 MASS
S014M           eta MASS
M014M           f(0)(500) BREIT-WIGNER MASS OR K-MATRIX POLE PARAMETERS
M001M           omega(782) MASS
M002M           eta'(958) MASS
M004M           phi(1020) MASS
M030M           h(1)(1170) MASS
M011M           b(1)(1235) MASS
M010M           a(1)(1260) MASS
M005M           f(2)(1270) MASS
M008M           f(1)(1285) MASS
M037M           eta(1295) MASS
M058M           pi(1300) MASS
M147M           f(0)(1370) BREIT-WIGNER MASS OR K-MATRIX POLE PARAMETER
M109M           h(1)(1380) MASS
M111M           pi(1)(1400) MASS
M125M           omega(1420) MASS
M149M           a(0)(1450) MASS
M152M           f(0)(1500) MASS
M084M           f(1)(1510) MASS
M123M           f(2)(1565) MASS
M188M           rho(1570) MASS
M166M           h(1)(1595) MASS
M164M           pi(1)(1600) MASS
M161M           a(1)(1640) MASS
M117M           f(2)(1640) MASS
M154M           eta(2)(1645) MASS
M126M           omega(1650) MASS
M045M           omega(3)(1670) MASS
M034M           pi(2)(1670) MASS
M015M           rho(3)(1690) MASS
M162M           a(2)(1700) MASS
M068M           f(0)(1710) MASS
M114M           eta(1760) MASS
M075M           pi(1800) MASS
M038M           f(2)(1810) MASS
M085M           X(1835) MASS
M054M           phi(3)(1850) MASS
M101M           eta(2)(1870) MASS
M185M           pi(1880) MASS
M170M           rho(1900) MASS
M135M           f(2)(1950) MASS
M167M           rho(3)(1990) MASS
M106M           f(2)(2010) MASS
M156M           f(0)(2020) MASS
M017M           a(4)(2040) MASS
M016M           f(4)(2050) MASS
M020M           pi(2)(2100) MASS
M168M           f(0)(2100) MASS
M042M           f(2)(2150) MASS, COMBINED MODES (MeV)
M103M           phi(2170) MASS
M112M           f(0)(2200) MASS
M082M           f(J)(2220) MASS
M115M           eta(2225) MASS
M107M           f(2)(2300) MASS
M041M           f(4)(2300) MASS
M169M           f(0)(2330) MASS
M108M           f(2)(2340) MASS
M033M           rho(5)(2350) MASS
M024M           a(6)(2450) MASS
M089M           f(6)(2510) MASS
S010M           K+- MASS
S011M           K0 MASS
M174M           K(0)*(800) MASS
M064M           K(1)(1400) MASS
M094M           K*(1410) MASS
M019M           K(0)*(1430) MASS
M021M           K(1460) MASS
M039M           K(2)(1580) MASS
M160M           K(1630) MASS
M099M           K(1)(1650) MASS
M095M           K*(1680) MASS
M023M           K(2)(1770) MASS
M060M           K(3)*(1780) MASS
M146M           K(2)(1820) MASS
M088M           K(1830) MASS
M134M           K(0)*(1950) MASS
M104M           K(2)*(1980) MASS
M035M           K(4)*(2045) MASS
