 -------------------------------------------------------------------------------------------------------------------------------------------------
|        Name       |     PdgID    |   Q  |     Mass    |  (c*)Tau/Gamma |  MaxWidth  |        EvtGen        |  PythiaID  |     Antiparticle     |
 -------------------------------------------------------------------------------------------------------------------------------------------------
| anti-d            |           -1 | +1/3 |     9.9 MeV |          0 ns  |      0     |        anti-d        |     -1     |           d          |
| d                 |            1 | -1/3 |     9.9 MeV |          0 ns  |      0     |           d          |      1     |        anti-d        |
| anti-u            |           -2 | -2/3 |     5.6 MeV |          0 ns  |      0     |        anti-u        |     -2     |           u          |
| u                 |            2 | +2/3 |     5.6 MeV |          0 ns  |      0     |           u          |      2     |        anti-u        |
| anti-s            |           -3 | +1/3 |     199 MeV |          0 ns  |      0     |        anti-s        |     -3     |           s          |
| s                 |            3 | -1/3 |     199 MeV |          0 ns  |      0     |           s          |      3     |        anti-s        |
| anti-c            |           -4 | -2/3 |    1.35 GeV |          0 ns  |      0     |        anti-c        |     -4     |           c          |
| c                 |            4 | +2/3 |    1.35 GeV |          0 ns  |      0     |           c          |      4     |        anti-c        |
| anti-b            |           -5 | +1/3 |       5 GeV |          0 ns  |      0     |        anti-b        |     -5     |           b          |
| b                 |            5 | -1/3 |       5 GeV |          0 ns  |      0     |           b          |      5     |        anti-b        |
| anti-t            |           -6 | -2/3 |   173.5 GeV |          2 GeV |      0     |        anti-t        |     -6     |           t          |
| t                 |            6 | +2/3 |   173.5 GeV |          2 GeV |      0     |           t          |      6     |        anti-t        |
| anti-b'           |           -7 | +1/3 |     400 GeV |          0 ns  |      0     |        anti-b'       |     -7     |          b'          |
| b'                |            7 | -1/3 |     400 GeV |          0 ns  |      0     |          b'          |      7     |        anti-b'       |
| anti-t'           |           -8 | -2/3 |     500 GeV |          0 ns  |      0     |        anti-t'       |     -8     |          t'          |
| t'                |            8 | +2/3 |     500 GeV |          0 ns  |      0     |          t'          |      8     |        anti-t'       |
| e+                |          -11 |   1  |   0.511 MeV |     stable     |      0     |          e+          |     -11    |          e-          |
| e-                |           11 |  -1  |   0.511 MeV |     stable     |      0     |          e-          |     11     |          e+          |
| nu_e~             |          -12 |   0  |       0 eV  |     stable     |      0     |       anti-nu_e      |     -12    |         nu_e         |
| nu_e              |           12 |   0  |       0 eV  |     stable     |      0     |         nu_e         |     12     |         nu_e~        |
| mu+               |          -13 |   1  |   105.7 MeV |      658.6 m   |      0     |          mu+         |     -13    |          mu-         |
| mu-               |           13 |  -1  |   105.7 MeV |      658.6 m   |      0     |          mu-         |     13     |          mu+         |
| nu_mu~            |          -14 |   0  |       0 eV  |     stable     |      0     |      anti-nu_mu      |     -14    |         nu_mu        |
| nu_mu             |           14 |   0  |       0 eV  |     stable     |      0     |         nu_mu        |     14     |        nu_mu~        |
| tau+              |          -15 |   1  |   1.777 GeV |      87.03 um  |      0     |         tau+         |     -15    |         tau-         |
| tau-              |           15 |  -1  |   1.777 GeV |      87.03 um  |      0     |         tau-         |     15     |         tau+         |
| nu_tau~           |          -16 |   0  |       0 eV  |     stable     |      0     |      anti-nu_tau     |     -16    |        nu_tau        |
| nu_tau            |           16 |   0  |       0 eV  |     stable     |      0     |        nu_tau        |     16     |        nu_tau~       |
| L+                |          -17 |   1  |     400 GeV |          0 ns  |      0     |          L+          |     -17    |          L-          |
| L-                |           17 |  -1  |     400 GeV |          0 ns  |      0     |          L-          |     17     |          L+          |
| anti-nu_L         |          -18 |   0  |       0 eV  |          0 ns  |      0     |       anti-nu_L      |     -18    |         nu_L         |
| nu_L              |           18 |   0  |       0 eV  |          0 ns  |      0     |         nu_L         |     18     |       anti-nu_L      |
| g                 |           21 |   0  |       0 eV  |     stable     |      0     |           g          |     21     |        self-cc       |
| gamma             |           22 |   0  |       0 eV  |     stable     |      0     |         gamma        |     22     |        self-cc       |
| Z0                |           23 |   0  |   91.19 GeV |      2.495 GeV |      0     |          Z0          |     23     |        self-cc       |
| W-                |          -24 |  -1  |   80.39 GeV |      2.085 GeV |      0     |          W-          |     -24    |          W+          |
| W+                |           24 |   1  |   80.39 GeV |      2.085 GeV |      0     |          W+          |     24     |          W-          |
| H_10              |           25 |   0  |   125.7 GeV |      7.002 GeV |      0     |        Higgs0        |     25     |        self-cc       |
| Z'0               |           32 |   0  |     500 GeV |          0 ns  |      0     |          Z'0         |     32     |        self-cc       |
| Z''0              |           33 |   0  |     900 GeV |          0 ns  |      0     |         Z''0         |     33     |        self-cc       |
| W'-               |          -34 |  -1  |     500 GeV |          0 ns  |      0     |          W'-         |     -34    |          W'+         |
| W'+               |           34 |   1  |     500 GeV |          0 ns  |      0     |          W'+         |     34     |          W'-         |
| H_20              |           35 |   0  |     310 GeV |      7.002 GeV |      0     |        Higgs'0       |     35     |        self-cc       |
| H_30              |           36 |   0  |     310 GeV |      7.002 GeV |      0     |          A0          |     36     |        self-cc       |
| H-                |          -37 |  -1  |     310 GeV |      7.002 GeV |      0     |        Higgs-        |     -37    |          H+          |
| H+                |           37 |   1  |     310 GeV |      7.002 GeV |      0     |        Higgs+        |     37     |          H-          |
| Graviton          |           39 |   0  |       0 eV  |          0 ns  |      0     |        unknown       |     39     |        self-cc       |
| anti-R0           |          -41 |   0  |       5 TeV |          0 ns  |      0     |        anti-R0       |     -41    |          R0          |
| R0                |           41 |   0  |       5 TeV |          0 ns  |      0     |          R0          |     41     |        anti-R0       |
| LQ_uebar          |          -42 | +1/3 |     200 GeV |          0 ns  |      0     |        unknown       |     -42    |         LQ_ue        |
| LQ_ue             |           42 | -1/3 |     200 GeV |          0 ns  |      0     |        unknown       |     42     |       LQ_uebar       |
| Xu0               |           43 |   0  |       1 GeV |          0 ns  |      0     |          Xu0         |     43     |        self-cc       |
| Xu-               |          -44 |  -1  |       1 GeV |          0 ns  |      0     |          Xu-         |     -44    |          Xu+         |
| Xu+               |           44 |   1  |       1 GeV |          0 ns  |      0     |          Xu+         |     44     |          Xu-         |
| specflav          |           81 |   0  |       0 eV  |          0 ns  |      0     |       specflav       |     81     |        self-cc       |
| anti-rndmflav     |          -82 |   0  |       0 eV  |          0 ns  |      0     |     anti-rndmflav    |     -82    |       rndmflav       |
| rndmflav          |           82 |   0  |       0 eV  |          0 ns  |      0     |       rndmflav       |     82     |     anti-rndmflav    |
| phasespa          |           83 |   0  |       1 GeV |          0 ns  |      0     |       phasespa       |     83     |        self-cc       |
| anti-c-hadron     |          -84 | -2/3 |       2 GeV |        100 um  |      0     |     anti-c-hadron    |     -84    |       c-hadron       |
| c-hadron          |           84 | +2/3 |       2 GeV |        100 um  |      0     |       c-hadron       |     84     |     anti-c-hadron    |
| anti-b-hadron     |          -85 | +1/3 |       5 GeV |        387 um  |      0     |     anti-b-hadron    |     -85    |       b-hadron       |
| b-hadron          |           85 | -1/3 |       5 GeV |        387 um  |      0     |       b-hadron       |     85     |     anti-b-hadron    |
| anti-t-hadron     |          -86 | -2/3 |     175 GeV |          0 ns  |      0     |     anti-t-hadron    |      0     |       t-hadron       |
| t-hadron          |           86 | +2/3 |     175 GeV |          0 ns  |      0     |       t-hadron       |      0     |     anti-t-hadron    |
| anti-b'-hadron    |          -87 | +1/3 |     400 GeV |          0 ns  |      0     |    anti-b'-hadron    |      0     |       b'-hadron      |
